USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
kamalbush         3073   0.0  0.0 426961776   3936   ??  S     8:02AM   0:00.14 /System/Library/CoreServices/pbs
root              3061   0.0  0.0 426916384   1824   ??  Ss    8:02AM   0:00.50 /usr/libexec/logd_helper
kamalbush         3058   0.0  0.0 410164640   1648   ??  Ss    8:02AM   0:00.02 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
kamalbush         3047   0.0  0.1 426954080   9744   ??  S     8:02AM   0:02.17 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
_iconservices     3043   0.0  0.1 426950464   4656   ??  Ss    8:02AM   0:00.08 /System/Library/CoreServices/iconservicesd
kamalbush         3042   0.0  0.1 426928464   5680   ??  Ss    8:02AM   0:00.22 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
kamalbush         3041   0.0  0.0 410200480   1600   ??  Ss    8:02AM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
root              3031   0.0  0.1 426951728   4272   ??  Ss    8:02AM   0:00.06 /usr/libexec/sandboxd
kamalbush         3030   0.0  0.0 410183072   1632   ??  Ss    8:02AM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
kamalbush         3029   0.0  0.1 426962480   5568   ??  S     8:02AM   0:00.14 /System/Library/CoreServices/ScopedBookmarkAgent
root              3009   0.0  0.1 426951728   7568   ??  Ss    8:01AM   0:01.61 /usr/libexec/audioanalyticsd
kamalbush         2985   0.0  0.1 426992960  12048   ??  S     7:56AM   0:03.31 /usr/libexec/naturallanguaged
root              2975   0.0  0.0 426953696   2544   ??  Ss    7:55AM   0:00.70 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
kamalbush         2900   0.0  0.1 411287728  12320   ??  S     7:45AM   0:00.27 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreautha.bundle/Contents/MacOS/coreautha
kamalbush         2854   0.0  0.1 426950208   8640   ??  S     6:01AM   0:00.17 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
kamalbush         2583   0.0  0.1 426958592   8624   ??  S     7:21PM   0:00.54 /System/Library/PrivateFrameworks/People.framework/peopled
_netbios          2462   0.0  0.0 426950288   3424   ??  SNs   4:17PM   0:00.59 /usr/sbin/netbiosd
_fpsd             2301   0.0  0.0 426965584   2928   ??  Ss    2:41PM   0:02.52 /System/Library/PrivateFrameworks/CoreLSKD.framework/Versions/A/lskdd
kamalbush         2285   0.0  0.0 499958400   1824   ??  Ss    2:36PM   0:08.29 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
_neuralengine     2250   0.0  0.0 426916640   1792   ??  S     2:31PM   0:00.29 /usr/sbin/distnoted agent
root              2175   0.0  0.1 426955760   5344   ??  Ss    2:24PM   0:00.24 /System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd
root              2174   0.0  0.1 426950592   8128   ??  Ss    2:24PM   0:00.84 /usr/sbin/BTLEServer
root              2126   0.0  0.1 426954192   8080   ??  S     2:14PM   0:02.45 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
kamalbush         1928   0.0  0.1 426968720  12016   ??  Ss    1:41PM   0:00.25 /System/Library/PrivateFrameworks/Lookup.framework/Versions/A/XPCServices/LookupViewService.xpc/Contents/MacOS/LookupViewService
root              1808   0.0  0.0 426916896   2752   ??  Ss    1:19PM   0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdsync -s mdworker-scan -c MDSSyncScanWorker -m com.apple.metadata.mds.scan
kamalbush         1782   0.0  0.2 426963360  13264   ??  S     1:19PM   0:00.78 /usr/libexec/proactived
kamalbush         1748   0.0  0.2 427149760  17856   ??  S     1:18PM   0:00.49 /System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent
root              1742   0.0  0.1 426952224   6064   ??  Ss    1:17PM   0:00.59 /usr/libexec/powerdatad
kamalbush         1736   0.0  0.1 426969104   7808   ??  Ss    1:17PM   0:13.71 /System/Library/PrivateFrameworks/IntelligencePlatformCompute.framework/Versions/A/XPCServices/IntelligencePlatformComputeService.xpc/Contents/MacOS/IntelligencePlatformComputeService
kamalbush         1729   0.0  0.1 426955552   6672   ??  S     1:17PM   0:06.29 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
kamalbush         1714   0.0  0.0 426912816   3088   ??  S     1:16PM   0:00.05 /System/Library/CoreServices/Setup Assistant.app/Contents/Resources/mbuseragent
kamalbush         1691   0.0  0.2 431542144  16976   ??  Ss    1:16PM   0:00.81 /System/Library/PrivateFrameworks/UIFoundation.framework/Versions/A/XPCServices/nsattributedstringagent.xpc/Contents/MacOS/nsattributedstringagent
kamalbush         1640   0.0  1.6 427535440 134912   ??  S     1:15PM   1:30.02 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
kamalbush         1629   0.0  0.2 411104656  13936   ??  Ss    1:15PM   0:00.34 /System/Library/CoreServices/Dock.app/Contents/XPCServices/DockHelper.xpc/Contents/MacOS/DockHelper
kamalbush         1585   0.0  0.2 411722560  13344   ??  S     1:15PM   7:59.34 /Users/kamalbush/Library/Application Support/Aura/AuraService/AuraAvService --scheduleOff
kamalbush         1396   0.0  0.1 427009728  12192   ??  S     1:14PM   0:00.76 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
kamalbush         1380   0.0  0.2 1865419280  16128   ??  S     1:14PM   0:00.32 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/141.0.7390.123/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=dacb331f-1ba4-45c4-b471-ac771b05a49e --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=58 --time-ticks-at-unix-epoch=-1761761511614746 --launch-time-ticks=166619108 --shared-files --metrics-shmem-handle=1752395122,r,8955568863324415126,3584423688822634591,2097152 --field-trial-handle=1718379636,r,16964490076867794470,7122116405275888713,262144 --variations-seed-version=20251028-010108.614000 --seatbelt-client=186
_audiomxd         1375   0.0  0.1 426950960   4960   ??  Ss    1:14PM   0:00.38 /usr/libexec/audiomxd
kamalbush         1367   0.0  0.2 444208976  18448   ??  S     1:14PM   0:01.60 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/141.0.7390.123/Helpers/Google Chrome Helper (Plugin).app/Contents/MacOS/Google Chrome Helper (Plugin) --type=utility --utility-sub-type=video_capture.mojom.VideoCaptureService --lang=en-US --service-sandbox-type=none --message-loop-type-ui --metrics-client-id=dacb331f-1ba4-45c4-b471-ac771b05a49e --shared-files --metrics-shmem-handle=1752395122,r,12355030187911462948,9724379658790247293,524288 --field-trial-handle=1718379636,r,16964490076867794470,7122116405275888713,262144 --variations-seed-version=20251028-010108.614000
kamalbush         1366   0.0  0.2 444450688  13888   ??  S     1:14PM   0:01.31 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/141.0.7390.123/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-US --service-sandbox-type=audio --message-loop-type-ui --metrics-client-id=dacb331f-1ba4-45c4-b471-ac771b05a49e --shared-files --metrics-shmem-handle=1752395122,r,1735180266479392235,3375368064504604314,524288 --field-trial-handle=1718379636,r,16964490076867794470,7122116405275888713,262144 --variations-seed-version=20251028-010108.614000 --seatbelt-client=186
kamalbush         1315   0.0  0.3 1865470816  29120   ??  S     1:14PM   0:00.57 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/141.0.7390.123/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=dacb331f-1ba4-45c4-b471-ac771b05a49e --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=54 --time-ticks-at-unix-epoch=-1761761511614746 --launch-time-ticks=157246438 --shared-files --metrics-shmem-handle=1752395122,r,12371073574135234333,7390336340114851406,2097152 --field-trial-handle=1718379636,r,16964490076867794470,7122116405275888713,262144 --variations-seed-version=20251028-010108.614000 --seatbelt-client=78
kamalbush         1311   0.0  0.1 426968896  11632   ??  S     1:14PM   0:02.52 /usr/libexec/tipsd
_rmd              1303   0.0  0.0 426916640   1712   ??  S     1:14PM   0:00.44 /usr/sbin/distnoted agent
kamalbush         1301   0.0  1.3 1865711328 112000   ??  S     1:14PM   1:17.73 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/141.0.7390.123/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=dacb331f-1ba4-45c4-b471-ac771b05a49e --lang=en-US --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=53 --time-ticks-at-unix-epoch=-1761761511614746 --launch-time-ticks=155185231 --shared-files --metrics-shmem-handle=1752395122,r,8175589121051569283,4000726723681260605,2097152 --field-trial-handle=1718379636,r,16964490076867794470,7122116405275888713,262144 --variations-seed-version=20251028-010108.614000 --seatbelt-client=66
kamalbush         1221   0.0  0.1 411183744  10448   ??  S     1:13PM   0:03.02 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -x
kamalbush         1146   0.0  0.1 426959776  10288   ??  S     1:13PM   0:28.44 /System/Library/Frameworks/Contacts.framework/Support/contactsd
kamalbush         1143   0.0  0.0 426912576   1728   ??  S     1:13PM   0:00.02 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
kamalbush         1074   0.0  0.1 427136160  10880   ??  S     1:13PM   0:00.63 /System/Cryptexes/App/usr/libexec/AuthenticationServicesAgent
root              1060   0.0  0.0 426916144   2480   ??  Ss    1:13PM   0:00.02 /System/Library/CoreServices/CrashReporterSupportHelper server-init
kamalbush         1044   0.0  0.1 426956352   8592   ??  S     1:13PM   0:00.66 /System/Library/PrivateFrameworks/MapsSync.framework/mapssyncd
kamalbush         1032   0.0  0.1 426962848   6736   ??  Ss    1:13PM   0:00.08 /System/Applications/Calendar.app/Contents/Extensions/CalendarIntentsExtension.appex/Contents/MacOS/CalendarIntentsExtension
kamalbush         1029   0.0  0.2 411558144  13904   ??  Ss    1:13PM   0:00.42 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/ThemeWidgetControlViewService.xpc/Contents/MacOS/ThemeWidgetControlViewService
root              1016   0.0  0.1 426951648   8864   ??  Ss    1:12PM   0:01.37 /usr/libexec/wifivelocityd
kamalbush         1001   0.0  0.1 427084048  11264   ??  S     1:12PM   0:07.24 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -u
kamalbush          989   0.0  0.2 411251488  12880   ??  Ss    1:12PM   0:03.46 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
kamalbush          988   0.0  0.1 426950320   5760   ??  S     1:12PM   0:00.25 /usr/libexec/inputanalyticsd
kamalbush          987   0.0  0.4 432351696  36592   ??  Ss    1:12PM   2:52.92 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.GPU.xpc/Contents/MacOS/com.apple.WebKit.GPU
kamalbush          984   0.0  0.2 427126352  13536   ??  S     1:12PM   0:00.61 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
kamalbush          876   0.0  0.1 426951696   8272   ??  S     1:12PM   0:00.83 /System/Library/CoreServices/diagnostics_agent
